RATA,aggregation-time,provincia_sede,Provincia Sede,descrizione_ente,3descrizione,codice_ente,CODICE ENTE,regione_sede,regione%sede,attivazioni,att ivazioni,cessazioni,mese,anno,qualifica,note,fonte_dato,tipo_contratto
202401,2024-08-01T11:57:15.156,MO,CB,Ente_034,Ente_034,78,78,Veneto,Veneto,151,151,379,1,2024,Impiegato,,,Determinato
202305,2024-05-09T15:35:13.919,PT,PT,Ente_077,Ente_077,91,91,Piemonte,Piemonte,152,152,4 unità,5,2023,Dirigente,,,Determinato
202309,2024-02-07T19:44:00.865,PA,,Ente_035,Ente_035,65,65,Calabria,Calabria,12,12,287,9,2023,Operatore,,,Indeterminato
202409,2024-12-02T00:55:15.157,AO,CA,Ente_006,Ente_006,77,77,Puglia,Puglia,325,325,449,9,2024,,,,Indeterminato
202406,2024-05-07T22:34:20.798,MO,MO,Ente_090,Ente_090,97,97,Calabria,Calabria,26,26,328,6,2024,,,,Indeterminato
202303,2024-11-10T19:19:36.742,BA,BA,Ente_033,Ente_033,3,3,Lazio,Lazio,481,481,313,3,2023,Operatore,,,Indeterminato
202409,24-09-23,Aq,AQ,Ente_027,Ente_027,23,23,Molise,Molise,498,498,347,9,2024,Funzionario,,,Indeterminato
202412,2024-12-18T11:34:45.741,VA,VA,Ente_040,Ente_040,48,48,Trentino-Alto Adige,Trentino-Alto Adige,493,493,420,DIC,2024,Operatore,,,Determinato
202311,2024-07-20T20:19:45.256,BG,BG,Ente_071,Ente_071,21,21,Lazio,Lazio,441,441,167,11,2023,Dirigente,,,Indeterminato
202410,05.01.2024,NA,NA,Ente_045,Ente_045,52,52,Campania,Campania,419,419,217,10,2024,Dirigente,,,Indeterminato
202308,2024-10-18T22:15:42.816,RM,RM,Ente_041,Ente_041,12,8,Trentino-Alto Adige,Trentino-Alto Adige,47,47,213,Giugno,2021,Impiegato,,,Indeterminato
202408,2024-04-13T10:28:06.292,PA,PA,Ente_019,Ente_019,19,19,Lazio,Lazio,149,149,112,8,2024,Impiegato,,,Indeterminato
202408,2024-02-24T17:18:00.881,PA,PA,Ente_100,Ente_100,14,14,Sicilia,Sicilia,216,216,474,8,2024,Dirigente,,,Indeterminato
202407,2024-04-24T01:18:36.049,CA,CA,Ente_084,Ente_084,7,7,Emilia-Romagna,Emilia-Romagna,417,417,324,7,2024,Operatore,,,Indeterminato
