aggregation-time,tipo_imposta,Tipo Imposta,spesa,SPESA TOTALE,cod_imposta,2cod_imposta,cod imposta ext,ente,ente%code,cod_tipoimposta,rata,note,fonte_dato,area_geografica,anno,mese,regione
2024-09-25T12:36:44.238,PREVIDENZIALI,Previdenziali,3884622.252326439,3884622.252326439,16,16,16,Ente_015,15,5,202305,,,,2023,5,Sicilia
17.12.2024,Erariali ,Netto,373102.1781637917,373102.1781637917,6,6,6,Ente_056,56,5,202312,,,Centro,2023,12,Valle d'Aosta
2024-09-26T23:57:30.440,Netto,Netto,1526603.189761034,1526603.189761034,13,13,13,Ente_082,82,1,202410,,,Nord,2024,10,Veneto
2024-11-06T20:42:47.147,Erariali,Erariali,4790244.080095052,4790244.080095052,6,6,6,Ente_056,56,1,202303,,,Isole,2023,3,Veneto
2024/09/20,Netto,Netto,4926250.340119909,4926250.340119909,1,1,1,Ente_068,68,1,202405,,,Nord,2024,5,Friuli-Venezia Giulia
2024-06-03T02:38:12.287,PREVIDENZIALI,Previdenziali,807852.9065684478,807852.9065684478,13,13,13,Ente_029,43,2,202307,,,Centro,2023,7,Umbria
2024-01-26T20:41:29.387,Erariali ,Erariali,2804948.705257815,2804948.705257815,2,2,2,Ente_087,87,4,202312,,,,2023,12,Lombardia
2024-11-05T10:37:10.049,Da definire,Netto,2796184.9936230094,2796184.9936230094,1,1,1,Ente_043,43,2,202403,,,Nord,2024,3,Emilia-Romagna
17.04.2024,PREVIDENZIALI,Previdenziali,2262451.07 EUR,2262451.071972534,1,1,1,Ente_086,86,2,202311,,,Sud,2023,11,Veneto
02.05.2024,Previdenziali,Previdenziali,4623576.091161714,4623576.091161714,11,11,11,Ente_020,20,3,202301,,,,2023,1,Campania
2024-12-04T02:05:11.915,erariali,Erariali,3770415.5117116775,3770415.5117116775,16,16,16,Ente_086,86,5,202305,,,,2023,5,Valle d'Aosta
2024-10-04T13:30:28.854,Netto,Netto,"3822870,151474037208",3822870.151474037,9,9,9,Ente_012,12,5,202411,Dato stimato,,Centro,2024,11,Sicilia
2024-04-21T10:35:19.637,Da definire,Erariali,1348577.5894149463,1348577.5894149463,7,7,7,Ente_099,99,4,202402,,,Nord,2024,2,Basilicata
10.11.2024,Erariali,Erariali,2172164.541235992,2172164.541235992,14,14,14,Ente_090,90,4,202408,,,,2024,8,Lazio
2024-05-01T20:07:30.676,Previdenziali,Previdenziali,2437631.06867879,2437631.06867879,5,4,4,Ente_014,14,3,202407,,,Isole,2024,7,Sicilia
16-09-23,erariali,Erariali,1495261.293980878,1495261.293980878,19,19,19,Ente_061,61,3,202308,,,,2023,8,Abruzzo
2023/12/03,Erariali ,Erariali,474994.05803512805,474994.05803512805,17,17,17,Ente_084,84,2,202401,,,Sud,2024,1,Marche
2024-02-27T15:45:05.835,Da definire,Netto,632669.7656361077,632669.7656361077,8,8,8,Ente_100,100,3,202402,,,Sud,2024,2,Campania
2024-06-10T11:56:07.988,Previdenziali,Previdenziali,904174.9697764281,904174.9697764281,4,4,4,Ente_076,76,5,202310,,,,2023,10,Umbria
2024-08-02T15:08:27.299,erariali,Erariali,1019063.0184903769,1019063.0184903769,2,2,2,Ente_061,61,1,202401,,,Isole,2024,1,Lazio
2024-02-22T07:56:13.801,Netto,Netto,1212066.7842435099,1212066.7842435099,20,20,20,Ente_009,9,1,202412,,,Centro,2024,12,Liguria
2024-03-10T16:11:17.588,Erariali,Erariali,1278044.6847885086,1278044.6847885086,13,13,13,Ente_097,97,2,202311,,,Centro,2023,11,Umbria
2024-02-08T17:06:09.809,Erariali,Erariali,2279126.011092192,2279126.011092192,20,20,20,Ente_088,88,2,SET-2024,,,Isole,2024,9,Veneto
2024-04-16T06:05:51.648,Previdenziali,Previdenziali,2548356.3809393803,2548356.3809393803,6,6,6,Ente_073,73,5,202311,,,Centro,2023,11,Basilicata
2024-01-02T04:42:35.617,Previdenziali,Previdenziali,1545087.1614236534,1545087.1614236534,18,18,18,Ente_024,24,2,202303,,,Nord,2023,3,Veneto
2024-07-03T18:33:56.606,Erariali ,Erariali,4536574.80318372,4536574.80318372,5,5,5,Ente_094,94,5,202307,,,Isole,2023,7,Sardegna
2024-01-15T14:45:52.134,Erariali,Erariali,2766145.476971434,2766145.476971434,12,12,12,Ente_069,69,4,202407,,,Centro,2024,7,Piemonte
2024-04-23T05:57:13.579,Previdenziali,Previdenziali,3937597.1632390004,3937597.1632390004,19,19,19,Ente_008,8,1,202401,,,Nord,2024,1,Veneto
2024-03-06T13:33:09.146,Da definire,Assistenziali,4621264.924271796,4621264.924271796,20,20,20,Ente_079,79,5,202403,,,Sud,2024,3,Emilia-Romagna
2024-12-17T06:26:04.489,Da definire,Previdenziali,816512.4377644502,816512.4377644502,19,19,19,Ente_045,45,3,202306,,,Sud,2023,6,Lazio
